provinsi,kabupaten,tahun,indeks_pembangunan_manusia,angka_harapan_hidup_laki,angka_harapan_hidup_perempuan,rerata_lama_sekolah_laki,rerata_lama_sekolah_perempuan,harapan_lama_sekolah,pengeluaran_per_kapita
ACEH,ACEH,2023,73.4,68.42,72.35,9.7,9.4,"14,38",10334
ACEH,Simeulue,2023,68.06,63.72,67.59,10.15,9.37,"14,28",7686
ACEH,AcehSingkil,2023,70.14,65.84,69.82,09.03,8.28,"14,35",9374
ACEH,AcehSelatan,2023,68.44,62.94,66.78,9.23,8.45,"14,7",8712
ACEH,AcehTenggara,2023,71.05,66.71,70.69,10.39,9.81,"14,27",8566
ACEH,AcehTimur,2023,69.32,67.14,71.1,8.6,8.38,"13,07",9436
ACEH,AcehTengah,2023,74.6,67.25,71.21,10.06,9.72,"14,85",11323
ACEH,AcehBarat,2023,72.88,66.4,70.38,10.16,9.8,"14,64",10085
ACEH,AcehBesar,2023,74.53,68.22,72.16,10.56,10.36,"14,76",10309
ACEH,Pidie,2023,71.66,65.36,69.32,9.43,8.73,"14,5",10584
ACEH,Bireuen,2023,73.63,69.72,73.7,9.39,9.3,"14,87",9758
ACEH,AcehUtara,2023,70.87,67.21,71.18,09.03,8.72,"14,74",8970
ACEH,AcehBaratDaya,2023,68.07,63.6,67.46,8.96,8.66,"13,67",9043
ACEH,GayoLues,2023,68.93,64.02,67.91,9.23,7.72,"14,34",9407
ACEH,AcehTamiang,2023,71.35,68.12,72.06,9.51,09.01,"14,23",9050
ACEH,NaganRaya,2023,70.78,67.68,71.63,9.2,8.73,"14,17",9062
ACEH,AcehJaya,2023,70.88,65.62,69.59,8.93,8.63,"14,02",10461
ACEH,BenerMeriah,2023,74.49,67.71,71.66,10.16,10.04,"13,72",11855
ACEH,PidieJaya,2023,74.8,68.68,72.61,9.8,9.47,"14,99",11005
ACEH,KotaBandaAceh,2023,86.69,70.07,74.07,13.14,12.87,"17,93",17521
ACEH,KotaSabang,2023,77.52,69.05,73,11.32,11.05,"14,68",12137
ACEH,KotaLangsa,2023,78.36,67.85,71.8,11.54,11.01,"15,7",12678
ACEH,KotaLhokseumawe,2023,78.92,70.11,74.11,11.46,11.19,"15,54",12125
ACEH,KotaSubulussalam,2023,67.1,62.54,66.37,8.88,7.94,"15,06",8065
SUMATERAUTARA,SUMATERAUTARA,2023,73.37,68.06,72,10.02,9.63,"13,48",11049
SUMATERAUTARA,Nias,2023,64.56,68.42,72.35,7.4,5.2,"13,3",7301
SUMATERAUTARA,MandailingNatal,2023,68.56,61.62,65.42,8.91,8.84,"13,86",10251
SUMATERAUTARA,TapanuliSelatan,2023,71.55,63.67,67.54,9.83,9.12,"13,58",11829
SUMATERAUTARA,TapanuliTengah,2023,70.91,65.95,69.94,9.18,8.69,"13,49",10690
SUMATERAUTARA,TapanuliUtara,2023,74.65,67.64,71.59,10.34,9.93,"13,73",12115
SUMATERAUTARA,TobaSamosir/Toba,2023,76.38,69.31,73.27,10.79,10.46,"13,59",12676
SUMATERAUTARA,LabuhanBatu,2023,73.69,68.85,72.79,9.71,9.27,"13,25",11670
SUMATERAUTARA,Asahan,2023,71.56,67.15,71.12,8.99,8.65,"12,64",11795
SUMATERAUTARA,Simalungun,2023,74.29,70.25,74.26,9.92,9.53,"12,82",11746
SUMATERAUTARA,Dairi,2023,73.27,68.18,72.12,9.92,9.87,"13,32",10969
SUMATERAUTARA,Karo,2023,75.98,70.32,74.33,10.05,10.03,"13,25",12779
SUMATERAUTARA,DeliSerdang,2023,76.52,70.35,74.36,10.65,10.14,"13,39",12890
SUMATERAUTARA,Langkat,2023,72.21,67.71,71.66,09.04,8.32,"13,27",11632
SUMATERAUTARA,NiasSelatan,2023,64.12,67.65,71.6,7.26,5.72,"12,78",7299
SUMATERAUTARA,HumbangHasundutan,2023,70.75,68.35,72.29,10.45,9.8,"13,32",8476
SUMATERAUTARA,PakpakBharat,2023,69.58,64.98,68.91,9.96,9.22,"13,9",8764
SUMATERAUTARA,Samosir,2023,72.08,70.28,74.29,10.08,8.85,"13,51",9158
SUMATERAUTARA,SerdangBedagai,2023,71.75,67.66,71.62,09.09,8.62,"12,64",11695
SUMATERAUTARA,BatuBara,2023,70.31,65.94,69.93,8.74,8.42,"13,11",10933
SUMATERAUTARA,PadangLawasUtara,2023,71.63,65.87,69.86,9.71,9.43,"13,53",10615
SUMATERAUTARA,PadangLawas,2023,70.34,65.77,69.74,9.52,9.31,"13,7",9395
SUMATERAUTARA,LabuhanBatuSelatan,2023,72.82,67.61,71.57,9.44,8.82,"13,42",11950
SUMATERAUTARA,LabuhanBatuUtara,2023,73.63,68.33,72.27,9.2,8.71,"13,57",12429
SUMATERAUTARA,NiasUtara,2023,64.64,68.32,72.26,08.03,5.83,"13,36",6788
SUMATERAUTARA,NiasBarat,2023,63.7,68.03,71.98,8.58,06.09,"12,98",6382
SUMATERAUTARA,KotaSibolga,2023,75.2,68.26,72.2,10.42,10.45,"13,42",12285
SUMATERAUTARA,KotaTanjungBalai,2023,70.59,62.42,66.24,9.53,9.86,"13,14",11753
SUMATERAUTARA,KotaPematangSiantar,2023,80.46,73,76.66,11.89,11.48,"14,6",12984
SUMATERAUTARA,KotaTebingTinggi,2023,76.98,69.69,73.67,11.11,10.73,"13,12",13385
