hidden_layer,hidden_neuron,aktivasi,lr,epoch,mse,bobot,bias,bobot_output,bias_output
1,"(2,)",tanh,0.0001,100,0.002281238655891336,"[[[np.float64(2.4476253166650412), np.float64(0.6216495446732114)], [np.float64(1.404521387017017), np.float64(0.3683891779589411)], [np.float64(2.0798762010171665), np.float64(0.1227406091613603)], [np.float64(0.941023055428894), np.float64(0.18767291951916715)]]]","[[0.07011003544269512, np.float64(-0.28833069096022335)]]","[np.float64(0.06739818013574604), np.float64(0.888606079185931)]",0.4632157628328146
1,"(2,)",tanh,0.0001,200,0.0023402827932639206,"[[[np.float64(2.4476253166650412), np.float64(0.6216495446732114)], [np.float64(1.404521387017017), np.float64(0.3683891779589411)], [np.float64(2.0798762010171665), np.float64(0.1227406091613603)], [np.float64(0.941023055428894), np.float64(0.18767291951916715)]]]","[[0.07011003544269512, np.float64(-0.28833069096022335)]]","[np.float64(0.06739818013574604), np.float64(0.888606079185931)]",0.46331917706123316
1,"(2,)",tanh,0.0001,100,0.01017575303831655,"[[[np.float64(2.4476253166650412), np.float64(0.6216495446732114)], [np.float64(1.404521387017017), np.float64(0.3683891779589411)], [np.float64(2.0798762010171665), np.float64(0.1227406091613603)], [np.float64(0.941023055428894), np.float64(0.18767291951916715)]]]","[[0.07011003544269512, np.float64(-0.28833069096022335)]]","[np.float64(0.06739818013574604), np.float64(0.888606079185931)]",0.4633195692616082
1,"(2,)",tanh,0.0001,200,0.01032067235015329,"[[[np.float64(2.4476253166650412), np.float64(0.6216495446732114)], [np.float64(1.404521387017017), np.float64(0.3683891779589411)], [np.float64(2.0798762010171665), np.float64(0.1227406091613603)], [np.float64(0.941023055428894), np.float64(0.18767291951916715)]]]","[[0.07011003544269512, np.float64(-0.28833069096022335)]]","[np.float64(0.06739818013574604), np.float64(0.888606079185931)]",0.4633194817388404
1,"(2,)",tanh,0.0001,100,0.09762566828811593,"[[[np.float64(2.4476253166650412), np.float64(0.6216495446732114)], [np.float64(1.404521387017017), np.float64(0.3683891779589411)], [np.float64(2.0798762010171665), np.float64(0.1227406091613603)], [np.float64(0.941023055428894), np.float64(0.18767291951916715)]]]","[[0.07011003544269512, np.float64(-0.28833069096022335)]]","[np.float64(0.06739818013574604), np.float64(0.888606079185931)]",0.4633191873998054
1,"(2,)",tanh,0.0001,200,0.09762566828811593,"[[[np.float64(2.4476253166650412), np.float64(0.6216495446732114)], [np.float64(1.404521387017017), np.float64(0.3683891779589411)], [np.float64(2.0798762010171665), np.float64(0.1227406091613603)], [np.float64(0.941023055428894), np.float64(0.18767291951916715)]]]","[[0.07011003544269512, np.float64(-0.28833069096022335)]]","[np.float64(0.06739818013574604), np.float64(0.888606079185931)]",0.4633191873998054
1,"(2,)",tanh,0.0001,100,0.0028972822854824217,"[[[np.float64(2.4476253166650412), np.float64(0.6216495446732114)], [np.float64(1.404521387017017), np.float64(0.3683891779589411)], [np.float64(2.0798762010171665), np.float64(0.1227406091613603)], [np.float64(0.941023055428894), np.float64(0.18767291951916715)]]]","[[0.07011003544269512, np.float64(-0.28833069096022335)]]","[np.float64(0.06739818013574604), np.float64(0.888606079185931)]",0.4633241300360563
1,"(2,)",tanh,0.0001,200,0.0033967368402367027,"[[[np.float64(2.4476253166650412), np.float64(0.6216495446732114)], [np.float64(1.404521387017017), np.float64(0.3683891779589411)], [np.float64(2.0798762010171665), np.float64(0.1227406091613603)], [np.float64(0.941023055428894), np.float64(0.18767291951916715)]]]","[[0.07011003544269512, np.float64(-0.28833069096022335)]]","[np.float64(0.06739818013574604), np.float64(0.888606079185931)]",0.46331918768666325
1,"(2,)",tanh,0.001,100,0.004312666796343252,"[[[np.float64(2.4476253166650412), np.float64(0.6216495446732114)], [np.float64(1.404521387017017), np.float64(0.3683891779589411)], [np.float64(2.0798762010171665), np.float64(0.1227406091613603)], [np.float64(0.941023055428894), np.float64(0.18767291951916715)]]]","[[0.07011003544269512, np.float64(-0.28833069096022335)]]","[np.float64(0.06739818013574604), np.float64(0.888606079185931)]",0.47003541730710896
1,"(2,)",tanh,0.001,200,0.004257570596041259,"[[[np.float64(2.4476253166650412), np.float64(0.6216495446732114)], [np.float64(1.404521387017017), np.float64(0.3683891779589411)], [np.float64(2.0798762010171665), np.float64(0.1227406091613603)], [np.float64(0.941023055428894), np.float64(0.18767291951916715)]]]","[[0.07011003544269512, np.float64(-0.28833069096022335)]]","[np.float64(0.06739818013574604), np.float64(0.888606079185931)]",0.4633296669481373
1,"(2,)",tanh,0.001,100,0.010080634538993839,"[[[np.float64(2.4476253166650412), np.float64(0.6216495446732114)], [np.float64(1.404521387017017), np.float64(0.3683891779589411)], [np.float64(2.0798762010171665), np.float64(0.1227406091613603)], [np.float64(0.941023055428894), np.float64(0.18767291951916715)]]]","[[0.07011003544269512, np.float64(-0.28833069096022335)]]","[np.float64(0.06739818013574604), np.float64(0.888606079185931)]",0.4642341354381143
1,"(2,)",tanh,0.001,200,0.01058245904112373,"[[[np.float64(2.4476253166650412), np.float64(0.6216495446732114)], [np.float64(1.404521387017017), np.float64(0.3683891779589411)], [np.float64(2.0798762010171665), np.float64(0.1227406091613603)], [np.float64(0.941023055428894), np.float64(0.18767291951916715)]]]","[[0.07011003544269512, np.float64(-0.28833069096022335)]]","[np.float64(0.06739818013574604), np.float64(0.888606079185931)]",0.4633213874181792
1,"(2,)",tanh,0.001,100,0.09762566828811593,"[[[np.float64(2.4476253166650412), np.float64(0.6216495446732114)], [np.float64(1.404521387017017), np.float64(0.3683891779589411)], [np.float64(2.0798762010171665), np.float64(0.1227406091613603)], [np.float64(0.941023055428894), np.float64(0.18767291951916715)]]]","[[0.07011003544269512, np.float64(-0.28833069096022335)]]","[np.float64(0.06739818013574604), np.float64(0.888606079185931)]",0.4633191873998054
1,"(2,)",tanh,0.001,200,0.09762566828811593,"[[[np.float64(2.4476253166650412), np.float64(0.6216495446732114)], [np.float64(1.404521387017017), np.float64(0.3683891779589411)], [np.float64(2.0798762010171665), np.float64(0.1227406091613603)], [np.float64(0.941023055428894), np.float64(0.18767291951916715)]]]","[[0.07011003544269512, np.float64(-0.28833069096022335)]]","[np.float64(0.06739818013574604), np.float64(0.888606079185931)]",0.4633191873998054
1,"(2,)",tanh,0.001,100,0.0034494550915144208,"[[[np.float64(2.4476253166650412), np.float64(0.6216495446732114)], [np.float64(1.404521387017017), np.float64(0.3683891779589411)], [np.float64(2.0798762010171665), np.float64(0.1227406091613603)], [np.float64(0.941023055428894), np.float64(0.18767291951916715)]]]","[[0.07011003544269512, np.float64(-0.28833069096022335)]]","[np.float64(0.06739818013574604), np.float64(0.888606079185931)]",0.4633200009456478
1,"(2,)",tanh,0.001,200,0.003517138378487427,"[[[np.float64(2.4476253166650412), np.float64(0.6216495446732114)], [np.float64(1.404521387017017), np.float64(0.3683891779589411)], [np.float64(2.0798762010171665), np.float64(0.1227406091613603)], [np.float64(0.941023055428894), np.float64(0.18767291951916715)]]]","[[0.07011003544269512, np.float64(-0.28833069096022335)]]","[np.float64(0.06739818013574604), np.float64(0.888606079185931)]",0.4633191875248509
1,"(3,)",tanh,0.0001,100,0.011864536804810748,"[[[np.float64(1.2837001322993356), np.float64(-0.8440484337502404), np.float64(3.034863803920472)], [np.float64(1.2837226771474404), np.float64(-0.4911515463618612), np.float64(2.4689836683437147)], [np.float64(1.5898207591361775), np.float64(-0.8777460506900416), np.float64(2.850664027991984)], [np.float64(0.3565529082611072), np.float64(0.008710706841593635), np.float64(1.2722964020593754)]]]","[[0.9726397579685353, 0.5432159048234017, np.float64(3.5698928949101)]]","[np.float64(0.04152359046354763), np.float64(0.9069943125198563), np.float64(0.9960723299342674)]",0.5950690785527205
1,"(3,)",tanh,0.0001,200,0.010179037934551416,"[[[np.float64(1.2837001322993356), np.float64(-0.8440484337502404), np.float64(3.034863803920472)], [np.float64(1.2837226771474404), np.float64(-0.4911515463618612), np.float64(2.4689836683437147)], [np.float64(1.5898207591361775), np.float64(-0.8777460506900416), np.float64(2.850664027991984)], [np.float64(0.3565529082611072), np.float64(0.008710706841593635), np.float64(1.2722964020593754)]]]","[[0.9726397579685353, 0.5432159048234017, np.float64(3.5698928949101)]]","[np.float64(0.04152359046354763), np.float64(0.9069943125198563), np.float64(0.9960723299342674)]",0.5959038981522148
1,"(3,)",tanh,0.0001,100,0.01379715442522221,"[[[np.float64(1.2837001322993356), np.float64(-0.8440484337502404), np.float64(3.034863803920472)], [np.float64(1.2837226771474404), np.float64(-0.4911515463618612), np.float64(2.4689836683437147)], [np.float64(1.5898207591361775), np.float64(-0.8777460506900416), np.float64(2.850664027991984)], [np.float64(0.3565529082611072), np.float64(0.008710706841593635), np.float64(1.2722964020593754)]]]","[[0.9726397579685353, 0.5432159048234017, np.float64(3.5698928949101)]]","[np.float64(0.04152359046354763), np.float64(0.9069943125198563), np.float64(0.9960723299342674)]",0.5944836528549959
1,"(3,)",tanh,0.0001,200,0.013965558398068572,"[[[np.float64(1.2837001322993356), np.float64(-0.8440484337502404), np.float64(3.034863803920472)], [np.float64(1.2837226771474404), np.float64(-0.4911515463618612), np.float64(2.4689836683437147)], [np.float64(1.5898207591361775), np.float64(-0.8777460506900416), np.float64(2.850664027991984)], [np.float64(0.3565529082611072), np.float64(0.008710706841593635), np.float64(1.2722964020593754)]]]","[[0.9726397579685353, 0.5432159048234017, np.float64(3.5698928949101)]]","[np.float64(0.04152359046354763), np.float64(0.9069943125198563), np.float64(0.9960723299342674)]",0.5944835758991948
