hidden_layer,hidden_neuron,aktivasi,lr,epoch,mse,bobot,bias,bobot_output,bias_output
1,"(2,)",relu,0.0001,100,0.020067343665262496,"[[[np.float64(-0.2115004254608428), np.float64(-0.5276946396699229)], [np.float64(-0.4422364460651547), np.float64(-0.5256620501395372)], [np.float64(-0.4092842364202171), np.float64(-0.16675758311913125)], [np.float64(0.38356073354825415), np.float64(0.19734637514670228)]]]","[[0.9520836613170182, np.float64(-1.0489468079776292)]]","[np.float64(0.5322911919751608), np.float64(0.974769672004118)]",0.5234188016607396
1,"(2,)",relu,0.0001,200,0.02681793938355609,"[[[np.float64(-0.23319311762303788), np.float64(0.351204430778689)], [np.float64(-0.42625993837347925), np.float64(0.3172352044821001)], [np.float64(-0.13361143024462205), np.float64(0.7422645397333073)], [np.float64(-0.015333194466947999), np.float64(0.16216886990535015)]]]","[[0.8636145157378688, np.float64(-0.005168728545372827)]]","[np.float64(0.8383170289340438), np.float64(0.1476403650193591)]",0.3160145662983203
1,"(2,)",relu,0.001,100,0.01543542821615301,"[[[np.float64(-1.0863034790825625), np.float64(-4.043951123120364)], [np.float64(-0.36719315061894703), np.float64(-4.560718980203771)], [np.float64(-1.2827993099858317), np.float64(-4.236485469130998)], [np.float64(-0.5563895141875151), np.float64(-2.1103898324768147)]]]","[[0.8568832896060903, np.float64(-6.844787325668737)]]","[np.float64(0.18119579527989138), np.float64(0.7055905205861978)]",0.7715398445800549
1,"(2,)",relu,0.001,200,0.04355654715409948,"[[[np.float64(-5.552634851416673), np.float64(-6.7137717785467235)], [np.float64(-5.389074303073881), np.float64(-5.847716169210349)], [np.float64(-5.615219227453892), np.float64(-6.59869812122525)], [np.float64(-2.044390323639578), np.float64(-2.9520655051795166)]]]","[[0.3756027501415624, np.float64(-10.822161083209975)]]","[np.float64(0.6264503419497636), np.float64(0.7253874390469605)]",0.5240381385561941
1,"(2,)",sigmoid,0.0001,100,0.031861654170236134,"[[[np.float64(0.6609737479158626), np.float64(0.0815214865171508)], [np.float64(0.7925081614996181), np.float64(0.8046134103041273)], [np.float64(0.07564886405128765), np.float64(0.18331829952134193)], [np.float64(0.2728610657851987), np.float64(0.28102591990233367)]]]","[[0.7547985812030308, np.float64(0.589722674431118)]]","[np.float64(0.4170201829835619), np.float64(0.5119328305273879)]",0.9939596569529009
1,"(2,)",sigmoid,0.0001,200,0.013069125893653659,"[[[np.float64(0.9362371153148785), np.float64(1.0010718886492382)], [np.float64(0.2787470274568253), np.float64(0.07542329303275783)], [np.float64(0.7859438388320936), np.float64(0.1210117093100933)], [np.float64(0.07649718385368237), np.float64(0.5240276834855577)]]]","[[0.731564236362823, np.float64(0.9769027934107855)]]","[np.float64(0.4358643946394762), np.float64(0.1258892142142101)]",0.12620109716602496
1,"(2,)",sigmoid,0.001,100,0.00982887128480186,"[[[np.float64(1.5020515154607565), np.float64(0.4504437766436461)], [np.float64(1.2186581084545045), np.float64(0.6532313890057757)], [np.float64(0.745775221483439), np.float64(1.0483388565417318)], [np.float64(0.6311705759638688), np.float64(0.5095620990156101)]]]","[[0.30766584522286344, np.float64(0.6082349482449207)]]","[np.float64(0.6204272343240831), np.float64(0.05569062671061494)]",0.20940416590915018
1,"(2,)",sigmoid,0.001,200,0.011200800015073053,"[[[np.float64(0.26931246324531294), np.float64(0.22667186439221912)], [np.float64(0.17929449074785578), np.float64(0.6943693680488952)], [np.float64(0.4296463623762066), np.float64(0.582101458094298)], [np.float64(0.6851158051981379), np.float64(0.49149977979422116)]]]","[[0.7488142645636368, np.float64(0.49735205353137846)]]","[np.float64(0.29328482283222623), np.float64(0.9074073735495636)]",0.09159236917308002
1,"(2,)",tanh,0.0001,100,0.006407182068797132,"[[[np.float64(0.11282052490841474), np.float64(-0.19338118496693343)], [np.float64(0.24141350836742673), np.float64(0.5099149668252736)], [np.float64(0.8272492766136281), np.float64(0.16216561268913038)], [np.float64(0.17557726298948453), np.float64(0.5620761823220488)]]]","[[0.9368510750571818, np.float64(-0.05725271014120675)]]","[np.float64(0.2248357032066433), np.float64(0.6253785855776987)]",0.49222159193774384
1,"(2,)",tanh,0.0001,200,0.008055852815457178,"[[[np.float64(0.13214361903122984), np.float64(0.5440924167989112)], [np.float64(-0.07646300219007579), np.float64(0.23295547047126577)], [np.float64(-0.6627386374653237), np.float64(0.5258150656658408)], [np.float64(0.2989183304935699), np.float64(0.39801258488692454)]]]","[[0.5056584300867998, np.float64(-0.2631402914677957)]]","[np.float64(0.6892501868200974), np.float64(0.3953321474039749)]",0.5447129636885264
