hidden_layer,hidden_neuron,lr,epoch,mse,bobot,bias,bobot_output,bias_output
1,"(1,)",0.005,200,0.017229195090248707,"[[[np.float64(0.900500386662847)], [np.float64(1.284236741391115)], [np.float64(0.7023208742543305)], [np.float64(0.7610398449479346)]]]",[[np.float64(2.0848531680878577)]],[np.float64(0.14211545730927239)],0.14690566444883998
1,"(1,)",0.005,500,0.03353703719028837,"[[[np.float64(-9.336676025560775)], [np.float64(-9.457850376782197)], [np.float64(-9.576476111721062)], [np.float64(-8.722606429024854)]]]",[[np.float64(-18.75568693779291)]],[np.float64(0.7388468999256328)],0.552357577419402
1,"(1,)",0.01,200,0.031209295326453928,"[[[np.float64(-11.614514740383015)], [np.float64(-12.443724754812687)], [np.float64(-11.791277502393838)], [np.float64(-10.517369408940267)]]]",[[np.float64(-23.734769671520368)]],[np.float64(0.6022787075714181)],0.5044676404958455
1,"(1,)",0.01,500,0.039151488257806115,"[[[np.float64(1.2649883585993442)], [np.float64(1.5342032867158395)], [np.float64(1.1032471310066632)], [np.float64(1.3259488655756524)]]]",[[np.float64(1.7616329939663136)]],[np.float64(0.04542544966577013)],0.5828482846899419
1,"(2,)",0.005,200,0.04958238655760976,"[[[np.float64(1.1494409657644402), np.float64(-4.073123860450511)], [np.float64(1.161897988233423), np.float64(-3.4703684357560705)], [np.float64(0.8488291695735257), np.float64(-3.2748218126413517)], [np.float64(1.2736396319943946), np.float64(-3.115054873981241)]]]","[[0.9752676139557656, np.float64(-7.44729241820372)]]","[np.float64(0.055290730077733295), np.float64(0.32829318066341495)]",0.6038669235686255
1,"(2,)",0.005,500,0.16234874270070662,"[[[np.float64(-8.477100779632234), np.float64(-32.11130860110494)], [np.float64(-8.022655021820288), np.float64(-31.748935360410073)], [np.float64(-8.289574193885052), np.float64(-30.788030272804114)], [np.float64(-7.133517285516647), np.float64(-29.019701517307467)]]]","[[0.6899184400477593, np.float64(-62.951439205664315)]]","[np.float64(0.23194994941096342), np.float64(0.9458833326340438)]",0.864648660283297
1,"(2,)",0.01,200,0.022588603871241165,"[[[np.float64(1.1009957994184156), np.float64(1.5236509993047358)], [np.float64(0.5758826796528729), np.float64(2.010104293794055)], [np.float64(0.4720836885740917), np.float64(1.599101182093402)], [np.float64(0.593183659619377), np.float64(1.0827466580315266)]]]","[[0.10602792403357764, np.float64(2.201774568362922)]]","[np.float64(0.030281914422134914), np.float64(0.08864571905137827)]",0.15146663781395794
1,"(2,)",0.01,500,0.031207506432694803,"[[[np.float64(-20.067142468207393), np.float64(-4.242021633224037)], [np.float64(-19.88738328813232), np.float64(-3.409321787122113)], [np.float64(-19.96503642539262), np.float64(-3.827702542057858)], [np.float64(-18.131274608323338), np.float64(-3.834528619458518)]]]","[[0.8061494391697687, np.float64(-8.088088598748119)]]","[np.float64(0.6577799436438375), np.float64(0.12394281654161365)]",0.5070846961306135
1,"(3,)",0.005,200,0.09208444260002042,"[[[np.float64(-29.305626621654728), np.float64(-28.399655324973903), np.float64(-25.05907746058316)], [np.float64(-29.25596108668251), np.float64(-28.557250703044296), np.float64(-25.391311463145364)], [np.float64(-28.577370477826474), np.float64(-27.771852142413756), np.float64(-25.097298457291732)], [np.float64(-26.717130547019043), np.float64(-25.73573293242022), np.float64(-23.341865022984422)]]]","[[0.0397368266428092, 0.20210336274247542, np.float64(-50.560791335449835)]]","[np.float64(0.6977299269173947), np.float64(0.6559712962563328), np.float64(0.5970358515205733)]",0.7498245306026581
1,"(3,)",0.005,500,0.031207299983529276,"[[[np.float64(-8.509915159201261), np.float64(-27.011946190294445), np.float64(-8.08603474871276)], [np.float64(-8.29811528561774), np.float64(-26.95395527588138), np.float64(-8.186806733458111)], [np.float64(-7.7795696402964705), np.float64(-25.638662257468013), np.float64(-7.917101588883706)], [np.float64(-7.661767950092195), np.float64(-24.27602994776288), np.float64(-7.137831059570418)]]]","[[0.9916477225119288, 0.04533297921212476, np.float64(-17.1403687481128)]]","[np.float64(0.2520567606168334), np.float64(0.8558992165426038), np.float64(0.2515694286498529)]",0.5034559601169794
