provinsi,kabupaten,tahun,indeks_pembangunan_manusia,angka_harapan_hidup,rerata_lama_sekolah,harapan_lama_sekolah,pengeluaran_per_kapita
ACEH,Simeulue,2023,68.06,65.655,9.76,14.28,7686.0
ACEH,Aceh Singkil,2023,70.14,67.83,8.655,14.35,9374.0
ACEH,Aceh Selatan,2023,68.44,64.86,8.84,14.7,8712.0
ACEH,Aceh Tenggara,2023,71.05,68.69999999999999,10.100000000000001,14.27,8566.0
ACEH,Aceh Timur,2023,69.32,69.12,8.49,13.07,9436.0
ACEH,Aceh Tengah,2023,74.6,69.22999999999999,9.89,14.85,11323.0
ACEH,Aceh Barat,2023,72.88,68.39,9.98,14.64,10085.0
ACEH,Aceh Besar,2023,74.53,70.19,10.46,14.76,10309.0
ACEH,Pidie,2023,71.66,67.34,9.08,14.5,10584.0
ACEH,Bireuen,2023,73.63,71.71000000000001,9.345,14.87,9758.0
ACEH,Aceh Utara,2023,70.87,69.195,8.875,14.74,8970.0
ACEH,Aceh Barat Daya,2023,68.07,65.53,8.81,13.67,9043.0
ACEH,Gayo Lues,2023,68.93,65.965,8.475,14.34,9407.0
ACEH,Aceh Tamiang,2023,71.35,70.09,9.26,14.23,9050.0
ACEH,Nagan Raya,2023,70.78,69.655,8.965,14.17,9062.0
ACEH,Aceh Jaya,2023,70.88,67.605,8.780000000000001,14.02,10461.0
ACEH,Bener Meriah,2023,74.49,69.685,10.1,13.72,11855.0
ACEH,Pidie Jaya,2023,74.8,70.64500000000001,9.635000000000002,14.99,11005.0
ACEH,Kota Banda Aceh,2023,86.69,72.07,13.004999999999999,17.93,17521.0
ACEH,Kota Sabang,2023,77.52,71.025,11.185,14.68,12137.0
ACEH,Kota Langsa,2023,78.36,69.82499999999999,11.274999999999999,15.7,12678.0
ACEH,Kota Lhokseumawe,2023,78.92,72.11,11.325,15.54,12125.0
ACEH,Kota Subulussalam,2023,67.1,64.455,8.41,15.06,8065.0
SUMATERA UTARA,Nias,2023,64.56,70.38499999999999,6.300000000000001,13.3,7301.0
SUMATERA UTARA,Mandailing Natal,2023,68.56,63.519999999999996,8.875,13.86,10251.0
SUMATERA UTARA,Tapanuli Selatan,2023,71.55,65.605,9.475,13.58,11829.0
SUMATERA UTARA,Tapanuli Tengah,2023,70.91,67.945,8.934999999999999,13.49,10690.0
SUMATERA UTARA,Tapanuli Utara,2023,74.65,69.61500000000001,10.135,13.73,12115.0
SUMATERA UTARA,Toba Samosir / Toba,2023,76.38,71.28999999999999,10.625,13.59,12676.0
SUMATERA UTARA,Labuhan Batu,2023,73.69,70.82,9.49,13.25,11670.0
SUMATERA UTARA,Asahan,2023,71.56,69.135,8.82,12.64,11795.0
SUMATERA UTARA,Simalungun,2023,74.29,72.255,9.725,12.82,11746.0
SUMATERA UTARA,Dairi,2023,73.27,70.15,9.895,13.32,10969.0
SUMATERA UTARA,Karo,2023,75.98,72.32499999999999,10.04,13.25,12779.0
SUMATERA UTARA,Deli Serdang,2023,76.52,72.35499999999999,10.395,13.39,12890.0
SUMATERA UTARA,Langkat,2023,72.21,69.685,8.68,13.27,11632.0
SUMATERA UTARA,Nias Selatan,2023,64.12,69.625,6.49,12.78,7299.0
SUMATERA UTARA,Humbang Hasundutan,2023,70.75,70.32,10.125,13.32,8476.0
SUMATERA UTARA,Pakpak Bharat,2023,69.58,66.945,9.59,13.9,8764.0
SUMATERA UTARA,Samosir,2023,72.08,72.285,9.465,13.51,9158.0
SUMATERA UTARA,Serdang Bedagai,2023,71.75,69.64,8.855,12.64,11695.0
SUMATERA UTARA,Batu Bara,2023,70.31,67.935,8.58,13.11,10933.0
SUMATERA UTARA,Padang Lawas Utara,2023,71.63,67.86500000000001,9.57,13.53,10615.0
SUMATERA UTARA,Padang Lawas,2023,70.34,67.755,9.415,13.7,9395.0
SUMATERA UTARA,Labuhan Batu Selatan,2023,72.82,69.59,9.129999999999999,13.42,11950.0
SUMATERA UTARA,Labuhan Batu Utara,2023,73.63,70.3,8.955,13.57,12429.0
SUMATERA UTARA,Nias Utara,2023,64.64,70.28999999999999,6.93,13.36,6788.0
SUMATERA UTARA,Nias Barat,2023,63.7,70.005,7.335,12.98,6382.0
SUMATERA UTARA,Kota Sibolga,2023,75.2,70.23,10.434999999999999,13.42,12285.0
SUMATERA UTARA,Kota Tanjung Balai,2023,70.59,64.33,9.695,13.14,11753.0
SUMATERA UTARA,Kota Pematang Siantar,2023,80.46,74.83,11.685,14.6,12984.0
SUMATERA UTARA,Kota Tebing Tinggi,2023,76.98,71.68,10.92,13.12,13385.0
SUMATERA UTARA,Kota Medan,2023,82.19,74.015,11.645,14.78,15674.0
SUMATERA UTARA,Kota Binjai,2023,77.6,73.185,11.11,14.17,11567.0
SUMATERA UTARA,Kota Padangsidimpuan,2023,76.44,70.25,11.14,14.59,11552.0
SUMATERA UTARA,Kota Gunungsitoli,2023,70.68,72.13499999999999,8.84,13.78,8635.0
SUMATERA BARAT,Kepulauan Mentawai,2023,63.13,65.145,7.824999999999999,12.9,6891.0
SUMATERA BARAT,Pesisir Selatan,2023,71.44,71.565,8.594999999999999,13.36,9953.0
SUMATERA BARAT,Solok,2023,70.63,69.60499999999999,7.915,13.55,10717.0
SUMATERA BARAT,Sijunjung,2023,69.65,67.065,8.605,12.72,11018.0
SUMATERA BARAT,Tanah Datar,2023,73.98,70.89,9.0,14.78,10905.0
SUMATERA BARAT,Padang Pariaman,2023,72.61,69.745,8.405,14.19,11432.0
SUMATERA BARAT,Agam,2023,73.98,73.28,9.21,13.89,10402.0
SUMATERA BARAT,Lima Puluh Kota,2023,70.7,70.345,8.28,13.41,10285.0
SUMATERA BARAT,Pasaman,2023,68.13,68.33500000000001,8.22,13.25,8908.0
SUMATERA BARAT,Solok Selatan,2023,70.58,68.755,8.695,12.8,10884.0
SUMATERA BARAT,Dharmasraya,2023,73.04,72.295,8.825,12.68,11901.0
SUMATERA BARAT,Pasaman Barat,2023,70.19,68.575,8.795000000000002,13.7,9538.0
SUMATERA BARAT,Kota Padang,2023,83.58,74.24000000000001,11.635000000000002,16.56,15089.0
SUMATERA BARAT,Kota Solok,2023,79.58,74.465,11.379999999999999,14.36,12709.0
SUMATERA BARAT,Kota Sawah Lunto,2023,74.42,70.74,10.495000000000001,13.69,10829.0
SUMATERA BARAT,Kota Padang Panjang,2023,79.26,73.285,11.870000000000001,15.29,11310.0
SUMATERA BARAT,Kota Bukittinggi,2023,81.78,75.205,11.55,15.01,13859.0
SUMATERA BARAT,Kota Payakumbuh,2023,79.97,74.50999999999999,10.835,14.3,13978.0
SUMATERA BARAT,Kota Pariaman,2023,78.13,70.995,10.8,14.79,13355.0
RIAU,Kuantan Singingi,2023,71.67,69.175,8.895,13.37,10945.0
RIAU,Indragiri Hulu,2023,71.04,70.74,8.415,12.59,10957.0
RIAU,Indragiri Hilir,2023,67.98,68.665,7.390000000000001,12.2,10659.0
RIAU,Pelalawan,2023,73.59,72.05,8.75,12.9,12399.0
RIAU,Siak,2023,74.98,71.685,9.96,12.86,12637.0
RIAU,Kampar,2023,74.24,71.475,9.399999999999999,13.6,11662.0
RIAU,Rokan Hulu,2023,71.02,70.88499999999999,8.805,12.88,10055.0
RIAU,Bengkalis,2023,74.97,71.83500000000001,9.719999999999999,13.34,12153.0
RIAU,Rokan Hilir,2023,70.78,71.04499999999999,8.54,12.88,10097.0
RIAU,Kepulauan Meranti,2023,67.28,68.46000000000001,8.005,12.86,8613.0
RIAU,Kota Pekanbaru,2023,82.38,73.07499999999999,11.95,15.58,14983.0
RIAU,Kota Dumai,2023,75.66,71.72,10.25,13.33,12457.0
JAMBI,Kerinci,2023,72.54,70.6,8.675,13.91,10965.0
JAMBI,Merangin,2023,70.81,71.805,8.22,12.25,10969.0
JAMBI,Sarolangun,2023,71.29,69.745,8.24,12.48,12392.0
