hidden_layer,hidden_neuron,aktivasi,lr,epoch,mse,bobot,bias,bobot_output,bias_output
1,"(2,)",relu,0.0001,100,0.33314356212965457,"[[[np.float64(-0.2615389388779243), np.float64(0.050472874871591474)], [np.float64(-0.18381647917966715), np.float64(-0.015114126361486893)], [np.float64(-0.43991417240421393), np.float64(0.09813264298404667)], [np.float64(-0.2918071825599254), np.float64(0.3723347867358255)]]]","[[0.4819073277018717, np.float64(-0.4078395782000591)]]","[np.float64(0.7218100617465232), np.float64(0.4112943831078636)]",0.9129531315685738
1,"(2,)",relu,0.0001,200,0.05394890413930417,"[[[np.float64(-0.2501732285609381), np.float64(0.5676680158347341)], [np.float64(-0.2828973729031477), np.float64(0.14781452329849093)], [np.float64(-0.2227783799294268), np.float64(0.12005937608532875)], [np.float64(0.1905043297153539), np.float64(-0.09229844062213728)]]]","[[0.17813843884859526, np.float64(0.047974146641973074)]]","[np.float64(0.8038067437414513), np.float64(0.547864494895299)]",0.3389510701452598
1,"(2,)",relu,0.001,100,0.030113713231585758,"[[[np.float64(0.03933148416250525), np.float64(0.8667750478439633)], [np.float64(0.6659455433870343), np.float64(-0.08980124340349402)], [np.float64(0.26493766210640546), np.float64(0.5078214575298392)], [np.float64(0.41131714763857985), np.float64(0.16724843738926648)]]]","[[0.35871136865645037, np.float64(0.05501745726478298)]]","[np.float64(0.1476301574847731), np.float64(0.22922452802576024)]",0.23357101827661722
1,"(2,)",relu,0.001,200,0.059167495195696175,"[[[np.float64(1.5635061201660234), np.float64(-0.2796575549230775)], [np.float64(1.1191390620539794), np.float64(-0.15311452001466033)], [np.float64(1.219111528510933), np.float64(0.12761840377438105)], [np.float64(0.7857496085901332), np.float64(-0.14008337040894545)]]]","[[0.9714153457557431, np.float64(-0.7637374833512283)]]","[np.float64(0.042486258933588976), np.float64(0.3770777715007137)]",0.44746674505453865
1,"(2,)",sigmoid,0.0001,100,0.12780619580029873,"[[[np.float64(0.7481538771091769), np.float64(0.6267047185293748)], [np.float64(0.6184998534672104), np.float64(0.7832664589221868)], [np.float64(0.7308434936287886), np.float64(0.8348312798106748)], [np.float64(0.4314225451471507), np.float64(0.524355575807425)]]]","[[0.704032234424797, np.float64(0.8475609194718629)]]","[np.float64(0.8123215377559434), np.float64(0.1550729135752251)]",0.18635860683904842
1,"(2,)",sigmoid,0.0001,200,0.09868802955356236,"[[[np.float64(0.1714727872686777), np.float64(0.19210928621040643)], [np.float64(0.29639750496088185), np.float64(-0.1024714185746441)], [np.float64(0.22181691240272589), np.float64(-0.14373355684558917)], [np.float64(0.2190065409201999), np.float64(0.38198124496417235)]]]","[[0.018160004022846676, np.float64(-0.3926533592450146)]]","[np.float64(0.3018659665747756), np.float64(0.9867996381693728)]",0.063661019566083
1,"(2,)",sigmoid,0.001,100,0.10105073599396569,"[[[np.float64(-0.22399594682126553), np.float64(-0.9025319491025031)], [np.float64(-0.702610972193938), np.float64(-0.4681695551320645)], [np.float64(0.2007091026797766), np.float64(-0.3936594863954273)], [np.float64(-0.11771373088031091), np.float64(-0.710563109048481)]]]","[[0.5059923726992994, np.float64(-1.3359766817856455)]]","[np.float64(0.8185869082393414), np.float64(0.8932606107009367)]",0.040335954766301925
1,"(2,)",sigmoid,0.001,200,0.10546295291650551,"[[[np.float64(-0.7073862132856983), np.float64(-0.7972490019856052)], [np.float64(0.026006366300007123), np.float64(-0.1765434207544898)], [np.float64(-0.8766228757045339), np.float64(-0.5255117855837763)], [np.float64(-0.5750461738934486), np.float64(-0.8554505380119098)]]]","[[0.6273577779807941, np.float64(-1.1121017824077704)]]","[np.float64(0.8696088124256346), np.float64(0.8790387014375229)]",0.060002551837445656
1,"(2,)",tanh,0.0001,100,0.02269287681426474,"[[[np.float64(0.0536690514247192), np.float64(0.20422519740017656)], [np.float64(0.41352330185803315), np.float64(0.5199935147443402)], [np.float64(0.7801241481204085), np.float64(-0.31398345198426825)], [np.float64(0.6843802774402241), np.float64(0.1676296176364992)]]]","[[0.3871994563773493, np.float64(-0.3044249431957312)]]","[np.float64(0.45488246408216804), np.float64(0.8410815688290108)]",0.22888592697746674
1,"(2,)",tanh,0.0001,200,0.06596335802332728,"[[[np.float64(0.4973209269012375), np.float64(0.19074446064119382)], [np.float64(0.6760873895889666), np.float64(0.2087032891834791)], [np.float64(0.9292457382208115), np.float64(0.38291576776959646)], [np.float64(0.2786183886017474), np.float64(0.020963839960824734)]]]","[[0.21218308420200527, np.float64(-0.0640972468780432)]]","[np.float64(0.016886026738091732), np.float64(0.3873764481880521)]",0.5665253489925569
1,"(2,)",tanh,0.001,100,0.07827786841245782,"[[[np.float64(0.9067959944140438), np.float64(0.17354498922027825)], [np.float64(0.5087693569976511), np.float64(0.16127098931387526)], [np.float64(0.4464784865241523), np.float64(0.27899299747292766)], [np.float64(0.24756686131967173), np.float64(0.305748609231825)]]]","[[0.8346533849016289, np.float64(0.21688385031307147)]]","[np.float64(0.20508108849334386), np.float64(0.8798891176823926)]",0.7767593523301363
1,"(2,)",tanh,0.001,200,0.06846823630282274,"[[[np.float64(0.1990297468421689), np.float64(0.3664197213886545)], [np.float64(0.16165189247925155), np.float64(-0.4062554178973609)], [np.float64(0.8171626000036627), np.float64(0.21302860879680285)], [np.float64(0.6091228302694872), np.float64(-0.33643096498567204)]]]","[[0.7327462197843955, np.float64(-0.6545648704701618)]]","[np.float64(0.7752568409119672), np.float64(0.8856270976669646)]",0.5432733843155836
1,"(3,)",relu,0.0001,100,0.1913837766207519,"[[[np.float64(0.21150493014331345), np.float64(-0.44663522615278356), np.float64(-0.141739130412034)], [np.float64(-0.39786955872705193), np.float64(0.332299279250635), np.float64(0.21926933864236134)], [np.float64(-0.136449694564231), np.float64(0.26666177955181847), np.float64(-0.07083847340852774)], [np.float64(-0.2819496275734881), np.float64(-0.4827628475885581), np.float64(0.17085836112895944)]]]","[[0.05101203502763352, 0.8192789790530656, np.float64(-0.15635233074793148)]]","[np.float64(0.7661053027593682), np.float64(0.659694107912716), np.float64(0.22203869365023607)]",0.32856181559312597
1,"(3,)",relu,0.0001,200,0.36214844233229515,"[[[np.float64(-0.3004132098763533), np.float64(-0.4189382909960842), np.float64(0.1795620916424868)], [np.float64(-0.09567002066210098), np.float64(0.03929650553688819), np.float64(-0.1069071990340606)], [np.float64(-0.47518914718183825), np.float64(-0.11198542197465362), np.float64(-0.18763739094422532)], [np.float64(0.10176238963343243), np.float64(-0.6507823406787835), np.float64(0.6123127242362709)]]]","[[0.006985701442327574, 0.7088684382339053, np.float64(-0.5383355146474966)]]","[np.float64(0.9564412170098955), np.float64(0.46732664711424493), np.float64(0.44923598574165124)]",0.8757701336128287
1,"(3,)",relu,0.001,100,0.11090742584142348,"[[[np.float64(-3.708485391675886), np.float64(-1.8106906960244549), np.float64(-2.9142703673934123)], [np.float64(-3.286912246511843), np.float64(-1.0185548102999709), np.float64(-2.8962555544969324)], [np.float64(-3.027290785662092), np.float64(-1.4413650694076685), np.float64(-2.871878650916428)], [np.float64(-3.102309187979399), np.float64(-1.479378170498619), np.float64(-2.3336989167826583)]]]","[[0.6885598988366219, 0.8210260753781837, np.float64(-7.047955368848831)]]","[np.float64(0.5673271596383772), np.float64(0.24262695668526124), np.float64(0.5027414448654065)]",0.64249226029254
